customer_id,name,gender,senior_citizen,age,partner,dependents,tenure_months,contract_type,monthly_charges,total_charges,payment_method,internet_service,phone_service,streaming_tv,streaming_movies,online_security,online_backup,device_protection,tech_support,paperless_billing,churn
CUST-01029,Michelle Moore,Male,1,83,Yes,Yes,10,Month-to-month,80.97,846.37,Credit card,Fiber optic,No,Yes,No,No,Yes,No,No,Yes,Yes
CUST-01030,Donald Perez,Female,0,55,Yes,No,15,One year,33.08,524.95,Mailed check,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No
CUST-01031,Michael Thomas,Male,1,83,No,No,8,Month-to-month,113.31,864.84,Electronic check,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
CUST-01032,Joshua Rodriguez,Female,0,50,Yes,No,2,Month-to-month,100.25,210.78,Electronic check,Fiber optic,Yes,No,Yes,Yes,No,No,Yes,Yes,No
CUST-01033,Michelle Taylor,Female,0,59,No,No,25,One year,70.16,1771.12,Bank transfer,Fiber optic,No,No,No,Yes,No,No,No,Yes,No
CUST-01034,James Moore,Female,0,53,Yes,No,1,Month-to-month,92.95,109.28,Mailed check,Fiber optic,Yes,Yes,Yes,No,No,No,No,Yes,No
CUST-01035,Michelle Lewis,Male,0,56,No,Yes,8,Month-to-month,72.86,575.17,Mailed check,DSL,Yes,No,No,Yes,No,No,Yes,No,Yes
CUST-01036,Lisa Allen,Female,0,40,Yes,No,9,One year,101.5,914.67,Mailed check,Fiber optic,Yes,Yes,Yes,No,No,No,No,No,No
CUST-01037,Mark Nguyen,Male,0,61,No,Yes,2,Month-to-month,81.66,197.92,Mailed check,DSL,Yes,No,Yes,No,Yes,No,Yes,No,No
CUST-01038,Susan King,Male,0,23,Yes,No,1,Month-to-month,101.26,101.26,Electronic check,Fiber optic,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes
CUST-01039,Michael Sanchez,Female,1,74,Yes,No,1,Month-to-month,94.17,118.91,Mailed check,DSL,Yes,No,Yes,Yes,No,Yes,Yes,No,No
CUST-01040,Jennifer Hill,Male,0,40,No,No,10,Month-to-month,49.88,485.14,Mailed check,DSL,No,No,Yes,No,No,No,No,No,No
CUST-01041,Betty Garcia,Female,0,47,No,No,65,Two year,108.59,7080.42,Electronic check,Fiber optic,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes
CUST-01042,Kimberly Ramirez,Male,0,32,Yes,No,9,Month-to-month,89.14,808.58,Bank transfer,Fiber optic,Yes,No,No,Yes,No,No,No,No,No
CUST-01043,Michelle Perez,Female,0,36,No,No,11,Month-to-month,70.35,819.81,Electronic check,DSL,Yes,No,Yes,No,No,Yes,No,Yes,No
CUST-01044,Ashley Brown,Male,0,34,Yes,No,34,Two year,73.68,2526.6,Mailed check,DSL,No,No,Yes,Yes,Yes,Yes,No,Yes,No
CUST-01045,Emily Thompson,Female,0,59,Yes,No,1,Month-to-month,76.95,98.5,Bank transfer,Fiber optic,Yes,No,No,No,No,No,No,Yes,Yes
CUST-01046,James Moore,Male,0,23,No,No,10,Month-to-month,100.44,998.22,Credit card,Fiber optic,Yes,Yes,No,Yes,No,No,No,Yes,No
CUST-01047,Paul Johnson,Male,1,65,Yes,Yes,9,Month-to-month,88.48,815.25,Electronic check,Fiber optic,Yes,No,Yes,No,No,No,No,No,Yes
CUST-01048,Barbara King,Male,1,69,Yes,No,16,One year,106.19,1680.21,Mailed check,Fiber optic,Yes,Yes,No,No,Yes,No,No,No,Yes
CUST-01049,Daniel Miller,Male,0,47,No,No,17,Two year,97.12,1601.11,Credit card,DSL,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No
CUST-01050,Sarah Brown,Female,0,57,No,No,3,Month-to-month,81.98,260.69,Credit card,Fiber optic,Yes,No,No,No,No,No,No,Yes,Yes
CUST-01051,Charles Young,Male,0,20,No,Yes,9,Month-to-month,96.27,840.94,Bank transfer,DSL,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No
CUST-01052,Kimberly King,Female,0,31,No,No,22,Two year,87.68,1968.35,Mailed check,Fiber optic,Yes,No,Yes,No,No,No,Yes,No,No
CUST-01053,Margaret Jackson,Female,0,32,Yes,Yes,4,Month-to-month,77.32,344.23,Electronic check,DSL,Yes,Yes,No,No,Yes,No,No,No,No
CUST-01054,Donna King,Male,0,46,No,No,1,Month-to-month,91.13,91.13,Bank transfer,DSL,Yes,Yes,No,No,Yes,Yes,No,No,No
CUST-01055,Sandra Sanchez,Female,0,35,Yes,No,20,One year,99.42,1964.73,Credit card,Fiber optic,Yes,Yes,No,No,No,Yes,Yes,Yes,No
CUST-01056,Michael Martinez,Female,0,23,No,Yes,41,One year,84.85,3525.51,Mailed check,DSL,Yes,Yes,Yes,No,No,Yes,Yes,No,No
CUST-01057,Patricia Gonzalez,Male,0,36,No,Yes,5,Month-to-month,32.12,189.48,Electronic check,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Yes
CUST-01058,Elizabeth White,Female,0,45,Yes,No,45,One year,78.68,3578.48,Mailed check,Fiber optic,No,No,No,No,Yes,Yes,No,Yes,No
CUST-01059,Robert Williams,Female,0,45,Yes,No,45,One year,75.82,3405.29,Credit card,DSL,Yes,No,No,Yes,Yes,No,No,Yes,No
CUST-01060,David Perez,Female,1,73,Yes,No,20,Two year,79.3,1593.46,Bank transfer,DSL,Yes,Yes,Yes,Yes,No,No,No,No,Yes
CUST-01061,Thomas Lewis,Male,0,52,Yes,No,13,One year,83.05,1107.94,Mailed check,DSL,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes
CUST-01062,Elizabeth Martinez,Male,1,71,No,No,1,Month-to-month,27.85,37.31,Credit card,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No
CUST-01063,Robert Jones,Male,0,52,Yes,Yes,1,Month-to-month,108.7,144.1,Bank transfer,Fiber optic,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes
CUST-01064,Sarah Thompson,Male,0,27,Yes,No,32,Two year,74.24,2358.16,Bank transfer,DSL,Yes,No,No,No,No,Yes,Yes,Yes,No
CUST-01065,Matthew Scott,Male,0,37,No,No,35,One year,35.6,1289.45,Electronic check,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No
CUST-01066,John Martin,Female,0,41,No,No,5,Month-to-month,30.57,171.88,Credit card,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Yes
CUST-01067,Sarah Moore,Male,1,69,Yes,No,14,Two year,90.2,1224.11,Bank transfer,Fiber optic,Yes,No,Yes,No,Yes,No,No,Yes,No
CUST-01068,Margaret Lewis,Female,0,60,Yes,Yes,6,Month-to-month,102.9,596.03,Electronic check,Fiber optic,Yes,No,No,Yes,Yes,No,Yes,No,Yes
CUST-01069,Andrew Scott,Male,0,44,No,Yes,5,Month-to-month,78.76,351.06,Mailed check,Fiber optic,Yes,No,Yes,No,No,No,No,No,No
CUST-01070,Barbara Wright,Male,0,49,No,Yes,2,Month-to-month,75.1,191.6,Mailed check,DSL,Yes,No,No,No,Yes,Yes,No,Yes,No
CUST-01071,Richard Gonzalez,Female,0,39,Yes,No,4,Month-to-month,94.84,357.45,Mailed check,DSL,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes
CUST-01072,Joshua Allen,Female,1,79,Yes,Yes,24,One year,88.15,2135.66,Credit card,Fiber optic,Yes,No,No,Yes,No,Yes,No,Yes,No
CUST-01073,Daniel Walker,Female,0,44,Yes,No,63,Two year,97.58,6182.25,Electronic check,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,No,No,No
CUST-01074,James Williams,Male,0,37,Yes,No,10,Month-to-month,75.2,725.76,Electronic check,DSL,Yes,No,Yes,No,No,Yes,No,Yes,No
CUST-01075,Thomas Harris,Male,0,47,No,No,1,Month-to-month,89.25,131.68,Credit card,DSL,Yes,Yes,Yes,No,No,No,Yes,No,Yes
CUST-01076,Linda Sanchez,Male,0,63,Yes,No,31,Two year,96.41,2971.09,Bank transfer,Fiber optic,Yes,Yes,No,No,No,Yes,No,No,No
CUST-01077,Donald Flores,Male,0,63,Yes,No,69,Two year,71.27,4957.86,Mailed check,DSL,Yes,No,No,No,No,Yes,No,Yes,No
CUST-01078,Linda Gonzalez,Male,0,48,No,No,60,Two year,33.5,1998.94,Mailed check,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No
CUST-01079,Linda Young,Male,1,69,Yes,No,36,One year,111.67,4053.13,Credit card,Fiber optic,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No
CUST-01080,Richard Hill,Female,0,24,No,No,7,Month-to-month,88.79,614.67,Credit card,Fiber optic,Yes,Yes,No,Yes,No,No,No,Yes,Yes
CUST-01081,Richard Allen,Female,0,28,Yes,No,1,Month-to-month,33.92,33.92,Credit card,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No
CUST-01082,Kimberly Taylor,Female,0,62,No,No,26,Two year,92.55,2390.01,Bank transfer,Fiber optic,Yes,No,Yes,No,No,Yes,No,Yes,Yes
CUST-01083,Betty Clark,Female,1,78,Yes,No,32,Two year,92.26,2924.78,Bank transfer,DSL,Yes,Yes,No,No,No,Yes,Yes,Yes,No
CUST-01084,Paul Robinson,Female,1,83,No,Yes,60,Two year,30.41,1845.49,Credit card,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No
CUST-01085,Joshua Lewis,Male,0,33,No,No,27,One year,69.33,1903.14,Credit card,DSL,Yes,Yes,No,No,No,No,No,Yes,No
CUST-01086,Anthony King,Female,0,19,Yes,No,71,Two year,95.12,6705.68,Mailed check,Fiber optic,Yes,Yes,No,No,No,No,Yes,Yes,No
CUST-01087,Steven Jackson,Male,0,36,Yes,No,48,Two year,111.65,5349.58,Credit card,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No
CUST-01088,Linda Hill,Male,0,18,No,Yes,71,Two year,114.94,8208.3,Credit card,Fiber optic,Yes,Yes,No,Yes,Yes,No,Yes,No,No
CUST-01089,Betty Flores,Female,1,81,No,Yes,1,Month-to-month,71.44,86.12,Mailed check,DSL,Yes,No,No,No,Yes,Yes,No,Yes,Yes
CUST-01090,Richard Lewis,Male,0,59,No,No,2,Month-to-month,47.74,50.51,Electronic check,DSL,No,No,No,No,Yes,No,No,Yes,No
CUST-01091,Paul Lopez,Female,0,23,Yes,No,1,Month-to-month,35.31,53.94,Credit card,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Yes
CUST-01092,Karen Scott,Female,0,45,Yes,No,8,One year,106.11,802.95,Mailed check,Fiber optic,Yes,Yes,No,Yes,No,Yes,No,No,Yes
CUST-01093,Thomas Anderson,Female,0,50,Yes,No,3,Month-to-month,95.79,242.2,Credit card,Fiber optic,Yes,No,No,No,Yes,Yes,No,No,No
CUST-01094,John Rodriguez,Male,0,30,No,No,12,One year,95.76,1155.48,Mailed check,Fiber optic,Yes,No,Yes,No,Yes,Yes,No,No,No
CUST-01095,Lisa Ramirez,Female,0,63,Yes,No,37,Two year,85.17,3149.71,Mailed check,DSL,Yes,Yes,Yes,No,Yes,No,No,No,No
CUST-01096,Robert Walker,Female,0,18,No,No,31,One year,103.94,3236.02,Bank transfer,Fiber optic,Yes,Yes,No,Yes,Yes,No,No,No,No
CUST-01097,Jessica Ramirez,Female,0,19,Yes,No,57,Two year,75.46,4291.87,Bank transfer,DSL,Yes,No,No,Yes,No,Yes,No,No,No
CUST-01098,Kimberly Robinson,Female,0,24,No,Yes,47,One year,37.13,1711.56,Mailed check,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No
CUST-01099,Steven Sanchez,Male,1,79,Yes,No,3,Month-to-month,107.27,356.75,Mailed check,Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,No,No
CUST-01100,Sarah Garcia,Female,1,72,No,Yes,5,Month-to-month,85.75,442.09,Electronic check,DSL,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes
CUST-01101,Kimberly King,Female,0,55,No,No,22,One year,109.82,2425.41,Mailed check,Fiber optic,Yes,No,Yes,Yes,Yes,No,No,Yes,No
CUST-01102,Donna Flores,Male,0,46,Yes,Yes,8,Month-to-month,87.24,738.82,Mailed check,Fiber optic,No,Yes,No,No,No,No,Yes,Yes,No
CUST-01103,Linda Jones,Female,0,46,Yes,Yes,9,Month-to-month,110.39,1032.69,Bank transfer,Fiber optic,Yes,Yes,Yes,No,No,Yes,No,Yes,No
CUST-01104,Jessica Miller,Female,0,24,Yes,No,4,Month-to-month,98.15,425.25,Electronic check,Fiber optic,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes
CUST-01105,John Williams,Male,0,63,No,Yes,8,Month-to-month,68.73,548.78,Bank transfer,DSL,Yes,No,Yes,No,No,No,No,No,No
CUST-01106,Sandra Hernandez,Female,1,82,Yes,No,8,One year,93.8,730.46,Credit card,Fiber optic,Yes,No,Yes,No,Yes,No,Yes,Yes,No
CUST-01107,Margaret White,Male,0,51,Yes,Yes,5,Month-to-month,62.59,344.21,Bank transfer,DSL,No,No,Yes,No,No,No,Yes,No,No
CUST-01108,Matthew Torres,Female,0,20,No,Yes,10,Month-to-month,63.21,660.74,Mailed check,DSL,Yes,No,No,No,No,No,No,Yes,Yes
CUST-01109,James Perez,Female,0,27,No,Yes,21,Two year,120.61,2524.41,Electronic check,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes
CUST-01110,Donald Lewis,Female,0,30,Yes,No,7,Month-to-month,37.4,286.21,Bank transfer,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No
CUST-01111,James Clark,Male,0,41,No,No,5,Month-to-month,91.96,493.3,Mailed check,Fiber optic,Yes,Yes,No,No,Yes,No,No,Yes,No
CUST-01112,Lisa Perez,Female,0,42,Yes,No,3,Month-to-month,27.4,81.09,Electronic check,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No
CUST-01113,Richard Wilson,Female,1,68,No,Yes,49,Two year,89.22,4406.27,Credit card,Fiber optic,Yes,No,No,No,No,No,Yes,Yes,Yes
CUST-01114,William Lee,Male,0,19,No,Yes,8,Month-to-month,95.03,758.36,Bank transfer,DSL,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No
CUST-01115,Christopher Flores,Female,0,22,No,No,6,Month-to-month,62.88,386.39,Electronic check,DSL,Yes,No,No,No,Yes,No,No,Yes,No
CUST-01116,Michelle Harris,Female,0,29,Yes,Yes,9,Month-to-month,93.01,802.57,Mailed check,Fiber optic,Yes,No,No,No,Yes,Yes,Yes,Yes,No
CUST-01117,Michelle Johnson,Female,0,19,Yes,No,33,Two year,87.77,2907.09,Credit card,Fiber optic,Yes,Yes,No,No,No,No,No,No,No
CUST-01118,James Flores,Male,1,81,No,No,19,Two year,97.82,1862.14,Electronic check,Fiber optic,Yes,Yes,Yes,No,No,No,No,Yes,Yes
CUST-01119,Michelle Brown,Female,0,63,Yes,No,45,One year,100.55,4555.69,Electronic check,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,Yes,No
CUST-01120,Kimberly Martin,Female,1,79,Yes,No,57,Two year,89.04,5124.39,Credit card,DSL,Yes,No,No,Yes,Yes,No,Yes,Yes,No
CUST-01121,Sandra Gonzalez,Male,0,35,Yes,No,1,Month-to-month,70.98,116.96,Electronic check,DSL,Yes,Yes,No,No,No,Yes,No,No,Yes
CUST-01122,Christopher Garcia,Female,0,58,No,Yes,8,Month-to-month,58.21,476.67,Mailed check,DSL,Yes,No,No,No,No,No,No,No,No
CUST-01123,Linda King,Male,1,78,Yes,No,68,Two year,82.83,5604.73,Electronic check,Fiber optic,Yes,No,No,No,Yes,No,No,No,Yes
CUST-01124,James Gonzalez,Female,0,22,Yes,No,20,Two year,37.36,723.97,Mailed check,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No
CUST-01125,David Ramirez,Female,0,38,Yes,No,30,Two year,104.59,3119.82,Credit card,Fiber optic,Yes,No,Yes,No,Yes,Yes,No,No,No
CUST-01126,Nancy Lopez,Female,0,37,Yes,Yes,20,Two year,37.5,711.62,Mailed check,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No
CUST-01127,Emily Allen,Male,0,21,No,No,60,Two year,36.78,2224.77,Bank transfer,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No
CUST-01128,Susan Jones,Female,0,41,No,No,6,Month-to-month,33.51,240.04,Mailed check,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No
CUST-01129,Jennifer Brown,Male,0,34,Yes,No,2,Month-to-month,75.37,191.46,Mailed check,Fiber optic,No,No,No,No,Yes,No,No,No,Yes
CUST-01130,Mary Allen,Male,0,48,No,No,41,Two year,35.64,1471.39,Bank transfer,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No
CUST-01131,Kimberly Hernandez,Female,0,54,No,No,5,Month-to-month,86.23,446.91,Bank transfer,Fiber optic,Yes,No,Yes,Yes,No,No,No,No,Yes
CUST-01132,Joshua Wilson,Female,0,55,No,Yes,5,Month-to-month,35.08,175.72,Mailed check,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Yes
CUST-01133,Joseph Rodriguez,Female,1,67,No,No,4,Month-to-month,114.25,499.79,Mailed check,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No
CUST-01134,William Flores,Male,0,59,Yes,No,1,Month-to-month,97.72,97.72,Mailed check,Fiber optic,Yes,No,Yes,No,No,No,Yes,Yes,No
CUST-01135,Paul Sanchez,Male,0,18,No,Yes,27,One year,107.37,2852.85,Electronic check,Fiber optic,Yes,Yes,No,No,Yes,No,Yes,No,Yes
CUST-01136,Charles Harris,Male,0,47,Yes,No,2,Month-to-month,31.94,31.94,Bank transfer,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No
CUST-01137,Thomas Scott,Male,0,56,No,No,6,Month-to-month,33.8,247.77,Bank transfer,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No
CUST-01138,Steven Harris,Female,0,55,No,No,5,Month-to-month,15.94,56.63,Electronic check,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No
CUST-01139,Susan Brown,Female,0,39,No,No,10,Month-to-month,72.02,768.99,Mailed check,DSL,Yes,Yes,No,No,No,No,Yes,Yes,No
CUST-01140,Donna Ramirez,Male,0,34,Yes,No,16,Two year,34.65,579.34,Bank transfer,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No
CUST-01141,William Lee,Female,0,23,No,Yes,64,Two year,90.63,5773.48,Credit card,Fiber optic,Yes,No,No,No,No,Yes,No,No,No
CUST-01142,Ashley Flores,Female,0,62,No,No,16,Two year,104.73,1666.74,Mailed check,Fiber optic,Yes,No,Yes,No,No,Yes,Yes,No,No
CUST-01143,Sarah Thompson,Male,0,55,No,No,11,Month-to-month,78.89,895.6,Bank transfer,DSL,Yes,No,Yes,No,No,Yes,No,Yes,Yes
CUST-01144,Thomas Garcia,Female,1,81,Yes,No,4,Month-to-month,75.13,286.86,Mailed check,DSL,Yes,No,No,No,Yes,No,Yes,No,No
CUST-01145,Donald Smith,Female,0,25,No,No,7,Month-to-month,30.25,173.22,Credit card,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No
CUST-01146,Jennifer Perez,Female,0,55,No,Yes,30,Two year,79.95,2405.72,Mailed check,Fiber optic,Yes,No,No,No,No,No,No,Yes,Yes
CUST-01147,Robert Hill,Male,0,39,No,Yes,8,Month-to-month,83.29,678.73,Bank transfer,Fiber optic,Yes,No,No,Yes,No,No,No,Yes,No
CUST-01148,Patricia Davis,Male,0,38,Yes,Yes,26,Two year,91.47,2360.32,Mailed check,Fiber optic,Yes,Yes,Yes,No,No,No,No,Yes,No
CUST-01149,Paul Walker,Female,1,75,Yes,Yes,67,Two year,78.38,5224.71,Bank transfer,DSL,No,Yes,No,No,No,Yes,Yes,Yes,No
CUST-01150,Matthew Harris,Male,0,38,No,No,2,Month-to-month,99.09,236.92,Electronic check,Fiber optic,Yes,Yes,No,Yes,No,Yes,No,No,Yes
CUST-01151,Margaret Torres,Male,0,24,No,No,6,One year,95.07,566.75,Bank transfer,Fiber optic,Yes,No,Yes,No,Yes,No,No,Yes,Yes
CUST-01152,Donald King,Male,0,63,No,No,45,One year,87.5,3912.95,Bank transfer,Fiber optic,Yes,Yes,No,No,No,Yes,No,No,Yes
CUST-01153,Elizabeth Sanchez,Male,0,52,Yes,No,9,Month-to-month,93.61,833.38,Bank transfer,Fiber optic,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes
CUST-01154,Mary Flores,Female,0,24,Yes,No,16,Two year,74.71,1230.03,Mailed check,DSL,Yes,Yes,Yes,No,No,No,No,Yes,No
CUST-01155,Barbara Thompson,Male,1,67,Yes,Yes,11,Month-to-month,88.55,955.75,Mailed check,DSL,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
CUST-01156,Donna Rodriguez,Female,1,82,Yes,No,53,Two year,61.99,3282.69,Electronic check,DSL,No,No,No,No,Yes,No,No,Yes,Yes
CUST-01157,Thomas Williams,Male,0,47,Yes,Yes,22,One year,112.54,2512.28,Electronic check,Fiber optic,Yes,Yes,Yes,No,No,No,Yes,No,Yes
CUST-01158,Barbara Wilson,Female,0,29,Yes,No,13,One year,27.79,353.66,Credit card,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No
CUST-01159,Kimberly Harris,Female,0,54,Yes,No,5,Month-to-month,22.67,113.14,Electronic check,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No
CUST-01160,Emily Lopez,Male,0,43,Yes,No,23,One year,83.23,1933.84,Credit card,DSL,Yes,No,Yes,No,Yes,Yes,No,No,Yes
CUST-01161,Linda Williams,Male,0,25,Yes,No,36,One year,39.85,1440.09,Mailed check,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No
CUST-01162,Sarah Sanchez,Female,0,60,Yes,No,14,Two year,74.12,1018.68,Bank transfer,DSL,No,Yes,No,No,Yes,Yes,No,Yes,No
CUST-01163,Sarah Miller,Male,0,24,No,Yes,3,Month-to-month,32.96,99.43,Credit card,No,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Yes
CUST-01164,Daniel Thomas,Male,0,51,No,No,11,Month-to-month,76.49,850.1,Bank transfer,DSL,Yes,No,Yes,No,No,No,No,Yes,Yes
